window_id,media_id,system_id,room_id,session_id,source_type,start_time,end_time,duration_seconds,video_path,video_start_offset_sec,has_audio,zone_config_id,quality_status,warnings
video_000001_w0019,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:58:46-03:00,2025-08-17T07:59:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,180.0,True,default_zone,warning,mapping_override
video_000001_w0020,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:58:56-03:00,2025-08-17T07:59:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,190.0,True,default_zone,warning,mapping_override
video_000001_w0021,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:06-03:00,2025-08-17T07:59:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,200.0,True,default_zone,warning,mapping_override
video_000001_w0022,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:16-03:00,2025-08-17T07:59:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,210.0,True,default_zone,warning,mapping_override
video_000001_w0023,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:26-03:00,2025-08-17T07:59:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,220.0,True,default_zone,warning,mapping_override
video_000001_w0024,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:36-03:00,2025-08-17T08:00:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,230.0,True,default_zone,warning,mapping_override
video_000001_w0025,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:46-03:00,2025-08-17T08:00:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,240.0,True,default_zone,warning,mapping_override
video_000001_w0026,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T07:59:56-03:00,2025-08-17T08:00:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,250.0,True,default_zone,warning,mapping_override
video_000001_w0027,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:06-03:00,2025-08-17T08:00:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,260.0,True,default_zone,warning,mapping_override
video_000001_w0028,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:16-03:00,2025-08-17T08:00:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,270.0,True,default_zone,warning,mapping_override
video_000001_w0029,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:26-03:00,2025-08-17T08:00:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,280.0,True,default_zone,warning,mapping_override
video_000001_w0030,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:36-03:00,2025-08-17T08:01:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,290.0,True,default_zone,warning,mapping_override
video_000001_w0031,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:46-03:00,2025-08-17T08:01:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,300.0,True,default_zone,warning,mapping_override
video_000001_w0032,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:00:56-03:00,2025-08-17T08:01:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,310.0,True,default_zone,warning,mapping_override
video_000001_w0033,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:06-03:00,2025-08-17T08:01:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,320.0,True,default_zone,warning,mapping_override
video_000001_w0034,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:16-03:00,2025-08-17T08:01:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,330.0,True,default_zone,warning,mapping_override
video_000001_w0035,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:26-03:00,2025-08-17T08:01:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,340.0,True,default_zone,warning,mapping_override
video_000001_w0036,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:36-03:00,2025-08-17T08:02:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,350.0,True,default_zone,warning,mapping_override
video_000001_w0037,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:46-03:00,2025-08-17T08:02:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,360.0,True,default_zone,warning,mapping_override
video_000001_w0038,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:01:56-03:00,2025-08-17T08:02:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,370.0,True,default_zone,warning,mapping_override
video_000001_w0039,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:06-03:00,2025-08-17T08:02:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,380.0,True,default_zone,warning,mapping_override
video_000001_w0040,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:16-03:00,2025-08-17T08:02:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,390.0,True,default_zone,warning,mapping_override
video_000001_w0041,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:26-03:00,2025-08-17T08:02:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,400.0,True,default_zone,warning,mapping_override
video_000001_w0042,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:36-03:00,2025-08-17T08:03:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,410.0,True,default_zone,warning,mapping_override
video_000001_w0043,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:46-03:00,2025-08-17T08:03:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,420.0,True,default_zone,warning,mapping_override
video_000001_w0044,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:02:56-03:00,2025-08-17T08:03:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,430.0,True,default_zone,warning,mapping_override
video_000001_w0045,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:06-03:00,2025-08-17T08:03:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,440.0,True,default_zone,warning,mapping_override
video_000001_w0046,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:16-03:00,2025-08-17T08:03:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,450.0,True,default_zone,warning,mapping_override
