window_id,media_id,system_id,room_id,session_id,start_time,end_time,video_path,video_start_offset_sec,duration_seconds,zone_config_id,zone_id,semantic_type,zone_area_pixels,zone_area_fraction,activity_mean,activity_std,activity_sum,activity_norm,frame_count_used,quality_status,warnings,start_time_dt,end_time_dt
video_000003_w0004,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",30.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0005616846300351123,0.0013593531213700772,285.26277351379395,0.993933266062795,15,ok,mapping_override,2025-08-16 06:00:33-03:00,2025-08-16 06:01:03-03:00
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",40.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,6.125907669532657e-05,0.00042315130704082546,1.2156863613054156,0.0040889005047787105,15,ok,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",40.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,2.430914025050394e-05,0.00018950566445710137,0.623529446311295,0.002097210225365129,15,ok,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",40.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0005817916729332259,0.0013800392703463634,295.4745388031006,0.9938138892698561,15,ok,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",50.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,8.200812117138412e-05,0.0004938236665717947,1.6274511301890016,0.004905205441391152,15,ok,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",50.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,8.57699870266515e-05,0.0003915550779007996,2.2000001301057637,0.006630891956800438,15,ok,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",50.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0006457419542130083,0.0014410619779179493,327.95297050476074,0.9884639026018084,15,ok,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",60.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,6.165430004330119e-05,0.0004076516085964007,1.223529546521604,0.003897466694168487,15,ok,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",60.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,7.613806493888357e-05,0.00035915701009798796,1.9529413194395602,0.006220956224408388,15,ok,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",60.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0006118750257883221,0.0014132994770382841,310.7529716491699,0.9898815770814231,15,ok,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00
