window_id,room_id,session_id,start_time,end_time,media_id,system_id,duration_seconds,zone_config_id,activity_mean,activity_total,drinking_activity_fraction,feeding_activity_fraction,general_activity_fraction,drinking_to_feeding_activity_ratio,feeding_plus_drinking_activity_fraction,functional_area_activity_fraction,spatial_freedom_index,occupancy_imbalance_index,warnings,start_time_dt,end_time_dt,semantic_transition_proxy,normalized_activity,mobility_index
video_000003_w0001,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00018503538183520303,0.0005551061455056091,0.0679932959447017,0.024787856102469055,0.9072188479528293,2.7430083369706613,0.09278115204717076,0.09278115204717076,0.33021430622056913,0.5738855146194959,mapping_override,2025-08-16 06:00:03-03:00,2025-08-16 06:00:33-03:00,0.0,0.002384492878173298,0.0016691450147213087
video_000003_w0002,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00017104530261349284,0.0005131359078404785,0.056224967976968306,0.010130222977543797,0.9336448090454879,5.550220177937364,0.0663551909545121,0.0663551909545121,0.24800493791998354,0.6003114757121546,mapping_override,2025-08-16 06:00:13-03:00,2025-08-16 06:00:43-03:00,0.02642596109265863,0.0019172326117411521,0.009269851156016393
video_000003_w0003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0001729632226670219,0.0005188896680010657,0.05788650464461016,0.007660741693161383,0.9344527536622285,7.556253292848195,0.06554724633777155,0.06554724633777155,0.24176431891312214,0.6011194203288952,mapping_override,2025-08-16 06:00:23-03:00,2025-08-16 06:00:53-03:00,0.0024694812843824394,0.001981289992761329,0.002127747380247662
video_000003_w0004,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00021399984773577468,0.000641999543207324,0.0855694676637262,0.03953173220780594,0.8748988001284679,2.1645767307618673,0.12510119987153212,0.12510119987153212,0.41416537483818544,0.5415654667951346,mapping_override,2025-08-16 06:00:33-03:00,2025-08-16 06:01:03-03:00,0.059553953533760584,0.0033518886905403622,0.02021250814350643
video_000003_w0005,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00022245329662635212,0.0006673598898790564,0.09179316531358869,0.03642583352575986,0.8717810011606515,2.520001779744417,0.12821899883934856,0.12821899883934856,0.4182594547731434,0.5384476678273182,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00,0.0062236976498624835,0.003634228820162508,0.0044110694690725006
video_000003_w0006,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0002711733541370147,0.000813520062411044,0.10080651352141849,0.10543069678263799,0.7937627896959435,0.9561400673396575,0.20623721030405648,0.20623721030405648,0.5933205883089394,0.4604294563626101,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00,0.07801821146470797,0.005261449559391374,0.027088478130986353
video_000003_w0007,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00024988913025683564,0.0007496673907705069,0.08224220608012976,0.10156246073425843,0.8161953331856119,0.8097697267824108,0.18380466681438817,0.18380466681438817,0.5493296627162292,0.4828619998522785,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00,0.02243254348966834,0.0045505692303064215,0.009915161508114997
video_000003_w0008,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00024061817877938868,0.000721854536338166,0.0771983814487976,0.10356944792012455,0.8192321706310779,0.7453779372111262,0.18076782936892216,0.18076782936892216,0.5424334593700995,0.4858988372977445,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00,0.005043824631332149,0.004240925003938574,0.004481794892156646
video_000003_w0009,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0002745533517251412,0.0008236600551754236,0.18785489003693095,0.09540862181043722,0.7167364881526319,1.9689508817156038,0.2832635118473682,0.2832635118473682,0.7072442120359541,0.38340315481929854,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00,0.11065650858813333,0.0053743394543332955,0.03695899019447331
video_000003_w0010,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0003002582659569776,0.0009007747978709328,0.21784207916913226,0.10625040847968778,0.67590751235118,2.0502705098849368,0.32409248764882004,0.32409248764882004,0.7600034771678658,0.3425741790178466,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00,0.04082897580145191,0.0062328681933231725,0.01661170047576179
