window_id,media_id,room_id,session_id,start_time,end_time,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning
video_000003_w0001,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,0.0681214034557342,0.0046944399364292,0.0360122174024581,1110.67578125,1482.449462890625,2188.466552734375,0.1068985238671302,30.0,22050,True,ok,
video_000003_w0002,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,0.0707583650946617,0.0050606387667357,0.035135380923748,1105.864501953125,1483.36328125,2183.699951171875,0.1071543917059898,30.0,22050,True,ok,
video_000003_w0003,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,0.0700398758053779,0.0049563664942979,0.0358882509171962,1107.10888671875,1482.7054443359375,2179.7666015625,0.1068417280912399,30.0,22050,True,ok,
video_000003_w0004,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,0.0702002197504043,0.0049758995883166,0.0358565039932727,1102.3072509765625,1481.0269775390625,2171.800048828125,0.1061309054493904,30.0,22050,True,ok,
video_000003_w0005,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,0.0693811401724815,0.0048543172888457,0.0362782925367355,1121.0059814453125,1504.4425048828125,2196.333251953125,0.1102732047438621,30.0,22050,True,ok,
video_000003_w0006,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,0.070310965180397,0.0049861329607665,0.035248763859272,1133.545654296875,1524.712646484375,2212.966552734375,0.1137113943696022,30.0,22050,True,ok,
video_000003_w0007,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,0.0714732185006141,0.0051491907797753,0.0352850444614887,1162.4608154296875,1569.678466796875,2245.7333984375,0.1213558986783027,30.0,22050,True,ok,
video_000003_w0008,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,0.0715077146887779,0.0051476331427693,0.0354800671339035,1190.2657470703125,1604.5933837890625,2287.966552734375,0.126761332154274,30.0,22050,True,ok,
video_000003_w0009,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,0.0716451779007911,0.0051613501273095,0.036625999957323,1209.99169921875,1634.38330078125,2316.966552734375,0.12982939183712,30.0,22050,True,ok,
video_000003_w0010,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,0.070293478667736,0.0049728928133845,0.0366637930274009,1200.759765625,1619.314208984375,2308.033447265625,0.1263559311628341,30.0,22050,True,ok,
video_000003_w0011,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,0.0691967830061912,0.0048303022049367,0.0377341397106647,1184.081298828125,1603.9593505859375,2274.800048828125,0.123382568359375,30.0,22050,True,ok,
video_000003_w0012,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,0.0694615691900253,0.0048752129077911,0.0370916314423084,1162.6165771484375,1569.622802734375,2243.36669921875,0.1202318370342254,30.0,22050,True,ok,
video_000003_w0013,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,0.0696664750576019,0.0049026543274521,0.0372307151556015,1150.25537109375,1549.837646484375,2233.10009765625,0.1184368431568145,30.0,22050,True,ok,
video_000003_w0014,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,0.0693834275007247,0.0048665446229279,0.0370961613953113,1145.9910888671875,1533.1507568359375,2228.166748046875,0.1162401884794235,30.0,22050,True,ok,
video_000003_w0015,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,0.0665507391095161,0.0044758976437151,0.039386510848999,1179.745849609375,1572.4554443359375,2281.333251953125,0.1229121014475822,30.0,22050,True,ok,
video_000003_w0016,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,0.0652881488204002,0.0042975693941116,0.0405868776142597,1198.9542236328125,1594.899658203125,2300.533447265625,0.1265821605920791,30.0,22050,True,ok,
video_000003_w0017,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:43-03:00,2025-08-16T06:03:13-03:00,0.0653821974992752,0.0043072802945971,0.0400637984275817,1193.0220947265625,1592.916259765625,2292.7666015625,0.1261721402406692,30.0,22050,True,ok,
video_000003_w0018,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:53-03:00,2025-08-16T06:03:23-03:00,0.0665400177240371,0.0044668423943221,0.0386291146278381,1174.553466796875,1573.73193359375,2261.10009765625,0.1220609247684478,30.0,22050,True,ok,
video_000003_w0019,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:03-03:00,2025-08-16T06:03:33-03:00,0.0672465786337852,0.0045690005645155,0.0385807380080223,1192.1326904296875,1599.7635498046875,2296.60009765625,0.1258881837129593,30.0,22050,True,ok,
video_000003_w0020,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:13-03:00,2025-08-16T06:03:43-03:00,0.0678879991173744,0.0046508181840181,0.0386381819844245,1191.8087158203125,1602.102294921875,2294.13330078125,0.1272349506616592,30.0,22050,True,ok,
video_000003_w0021,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:23-03:00,2025-08-16T06:03:53-03:00,0.0680923908948898,0.0046717426739633,0.0389919430017471,1212.28955078125,1625.656494140625,2331.300048828125,0.1311308443546295,30.0,22050,True,ok,
video_000003_w0022,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:33-03:00,2025-08-16T06:04:03-03:00,0.0678124725818634,0.0046258508227765,0.0391249805688858,1191.973388671875,1593.024658203125,2301.5,0.126092180609703,30.0,22050,True,ok,
video_000003_w0023,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:43-03:00,2025-08-16T06:04:13-03:00,0.0696854889392852,0.0048977499827742,0.0382859483361244,1210.033203125,1614.1046142578125,2341.7333984375,0.1280663013458252,30.0,22050,True,ok,
video_000003_w0024,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:53-03:00,2025-08-16T06:04:23-03:00,0.070976085960865,0.0050742221064865,0.0373093299567699,1177.0479736328125,1576.6336669921875,2286.333251953125,0.1231741979718208,30.0,22050,True,ok,
video_000003_w0025,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:03-03:00,2025-08-16T06:04:33-03:00,0.070501334965229,0.0050102095119655,0.0369646400213241,1167.142578125,1561.4969482421875,2269.60009765625,0.1205159872770309,30.0,22050,True,ok,
