stage,window_id,media_id,room_id,issue
video_features,media_000002_w0191,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0192,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0193,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0194,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0195,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0196,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0197,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0198,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0199,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0200,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0201,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0202,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0203,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0204,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0205,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0206,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0207,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0208,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0209,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0210,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0211,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0212,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0213,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0214,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0215,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0216,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0217,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0218,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0219,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0220,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0221,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0222,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0223,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0224,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0225,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0226,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0227,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0228,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0229,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0230,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0231,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0232,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0233,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0234,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0235,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0236,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0237,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0238,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0239,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0240,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0241,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0242,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0243,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0244,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0245,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0246,media_000002,room_1,no_interval_overlap
