window_id,media_id,room_id,session_id,start_time,end_time,mobility_index,spatial_freedom_index,occupancy_imbalance_index,activity_mean,normalized_activity,resilience_pressure_index,event_phase,event_id,event_type,seconds_from_event_start,seconds_from_event_end,overlaps_event,event_start_time,event_end_time,state_id,state_probability_max,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3,state_label,state_run_length,welfare_risk_score,risk_level,sustained_risk_flag,high_risk_flag
video_000003_w0013,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,0.011391126937195333,0.6725309971174968,0.422990849483196,2.623939990613928e-05,1.8766823708765804e-05,0.0,outside_event_window,,,,,False,,,1,1.0,7.998072204924691e-244,1.0,5.63938850608818e-48,9.609096235147995e-43,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0014,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,0.006576641229013581,0.6754092681426106,0.4232372477778951,2.7571180570884482e-05,1.989826609175803e-05,0.0,outside_event_window,,,,,False,,,1,1.0,5.295584210479864e-249,1.0,1.2025411114695018e-47,5.639388485079821e-48,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0015,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,0.0040875450579317555,0.67450671207216,0.42510523195340827,2.9335124151952387e-05,2.1396861605013325e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.262313533751912e-248,1.0,7.137003772616808e-48,1.2025411081096406e-47,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0016,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,0.01103938029307851,0.7009563996931075,0.4073856504097036,2.8202109853155593e-05,2.0434285384971735e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.7424906307904494e-249,1.0,4.4588858983207345e-45,7.137003741044257e-48,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0017,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:43-03:00,2025-08-16T06:03:13-03:00,0.0008768054552519869,0.7068175577321015,0.40451303564909447,2.9407806112165722e-05,2.1458610098921707e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.974588471531972e-246,1.0,1.652990794507378e-44,4.4588858894963295e-45,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0018,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:53-03:00,2025-08-16T06:03:23-03:00,0.004039554883741532,0.7004880434684455,0.4051635158730888,2.5084849974987833e-05,1.7785951437553315e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.0640337935354994e-245,1.0,3.395477660321785e-45,1.6529907891192414e-44,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0019,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:03-03:00,2025-08-16T06:03:33-03:00,0.007546675492702742,0.6606182909744438,0.4302841143768992,2.179878108279354e-05,1.4994202228029938e-05,0.0,outside_event_window,,,,,False,,,1,1.0,4.03718553343847e-246,1.0,3.665195808824422e-49,3.39547764945143e-45,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0020,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:13-03:00,2025-08-16T06:03:43-03:00,0.01069388818153011,0.6598360558545762,0.42092313376121837,2.2603244022079138e-05,1.5677650703555274e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.575337504823156e-250,1.0,1.4799201791801596e-48,3.665195795383846e-49,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0021,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:23-03:00,2025-08-16T06:03:53-03:00,0.016343298312790366,0.7485529488345567,0.3664887823097598,2.5997430347337222e-05,1.8561253361132805e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.33865554255217e-250,1.0,9.14158548135703e-40,1.4799201772850202e-48,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0022,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:33-03:00,2025-08-16T06:04:03-03:00,0.007469043231398974,0.7725316780206215,0.34164772668526355,3.22756682482143e-05,2.3895062928731173e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.188866654101955e-241,1.0,6.3301908952027035e-37,9.141585475503815e-40,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0023,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:43-03:00,2025-08-16T06:04:13-03:00,0.007113116691456653,0.8010165005990726,0.3179933314880378,3.239604535484291e-05,2.399733184131344e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.3696074444658684e-238,1.0,2.298461505612231e-35,6.3301908940973065e-37,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0024,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:03:53-03:00,2025-08-16T06:04:23-03:00,0.014073768169663577,0.7442662561313863,0.36484873554011327,3.2982596357319e-05,2.4495648629922924e-05,0.0,outside_event_window,,,,,False,,,1,1.0,5.650639561972249e-237,1.0,9.006341596351861e-41,2.298461501732377e-35,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0025,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:03-03:00,2025-08-16T06:04:33-03:00,0.005892344698105376,0.7284983958532142,0.3823125991348485,2.7960898500367647e-05,2.022935918726681e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.5563626371865132e-242,1.0,1.60037949392817e-41,9.006341569091481e-41,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0026,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:13-03:00,2025-08-16T06:04:43-03:00,0.01797437855641315,0.7827155203504282,0.3440731102066167,3.0376294169561413e-05,2.2281409576768865e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.6943386081036956e-243,1.0,8.822811633635198e-36,1.6003794935555528e-41,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0027,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:23-03:00,2025-08-16T06:04:53-03:00,0.009406086104364303,0.823024335821564,0.31826169759080103,2.784351722612636e-05,2.0129635447343287e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.7716707604039082e-237,1.0,5.852982178417482e-33,8.822811624391205e-36,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0028,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:33-03:00,2025-08-16T06:05:03-03:00,0.003860710953584181,0.8158431577720852,0.32404567846213395,3.098888119701382e-05,2.2801845820122404e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.4058035022830223e-234,1.0,1.1822867720692806e-34,5.8529821780767934e-33,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0029,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:43-03:00,2025-08-16T06:05:13-03:00,0.014359759742816619,0.7610671609944305,0.3718628741597187,2.8701578293895594e-05,2.0858619344594432e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.75164543713058e-236,1.0,6.9195981052191926e-40,1.1822867702111906e-34,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0030,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:04:53-03:00,2025-08-16T06:05:23-03:00,0.014192154588984264,0.7161253236779619,0.39337002217036326,3.1226893002145316e-05,2.3004053774560446e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.5255109226052245e-241,1.0,9.354309028890372e-44,6.919598083066644e-40,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0031,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:03-03:00,2025-08-16T06:05:33-03:00,0.007466815760540476,0.6778487764170357,0.4174112418960033,2.9002694106683437e-05,2.1114438641116883e-05,0.0,outside_event_window,,,,,False,,,1,1.0,7.779630816191772e-245,1.0,2.472084265786922e-47,9.354308991320394e-44,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0032,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:13-03:00,2025-08-16T06:05:43-03:00,0.0043177711749343255,0.666020873957351,0.42216539798967795,3.062303599093615e-05,2.2491034300832183e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.7637284651035505e-248,1.0,2.7607320214804475e-48,2.4720842587361044e-47,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0033,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:23-03:00,2025-08-16T06:05:53-03:00,0.0032144842652537917,0.6700759414396998,0.4224883994938127,2.9218287052680735e-05,2.129760018042498e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.0511573398205226e-249,1.0,4.2339472473215895e-48,2.760732014409834e-48,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0034,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:33-03:00,2025-08-16T06:06:03-03:00,0.011778971436730377,0.7098495570599014,0.393788190351712,2.8276679200187986e-05,2.0497637348202593e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.7652345801469022e-249,1.0,3.870621982111223e-44,4.233947230316666e-48,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0035,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:43-03:00,2025-08-16T06:06:13-03:00,0.005439699692370908,0.7312372416445507,0.37569601133826136,2.4405216848671917e-05,1.7208554765296884e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.4522818507121078e-245,1.0,3.196963116839516e-42,3.870621972198029e-44,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0036,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:05:53-03:00,2025-08-16T06:06:23-03:00,0.011789208541497296,0.7150245819567939,0.3908892814850127,2.2173387231910758e-05,1.531245679145823e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.2441023517829887e-243,1.0,8.111330423397213e-44,3.196963104371637e-42,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0037,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:03-03:00,2025-08-16T06:06:33-03:00,0.007170523607752125,0.7266762921538273,0.3887006803737688,2.3634665686496822e-05,1.655391675603008e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.2721842302306656e-245,1.0,2.1344809799476346e-42,8.111330395068719e-44,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0038,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:13-03:00,2025-08-16T06:06:43-03:00,0.011076670694886086,0.7723826449793783,0.35182611885676135,2.819915040086496e-05,2.043177111979226e-05,0.0,outside_event_window,,,,,False,,,1,1.0,4.7392948596980587e-244,1.0,1.8119572702199247e-36,2.134480977587015e-42,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0039,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:23-03:00,2025-08-16T06:06:53-03:00,0.014619412062556299,0.8331655987267368,0.3031504728763148,3.2261752608656977e-05,2.388324060333001e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.1235038786940024e-238,1.0,6.392103405715551e-32,1.8119572657901934e-36,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0040,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:33-03:00,2025-08-16T06:07:03-03:00,0.007535694476407981,0.8084910852469045,0.32821393010288846,3.215924712852332e-05,2.37961549083786e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.3761567274170194e-233,1.0,4.956483396421271e-35,6.392103404227273e-32,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0041,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:43-03:00,2025-08-16T06:07:13-03:00,0.006805378463297982,0.7824961646892614,0.3508500215190863,2.8617510493234023e-05,2.0787197769532263e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.2161295754641847e-236,1.0,7.231051259183198e-38,4.956483392670702e-35,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0042,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:06:53-03:00,2025-08-16T06:07:23-03:00,0.010967881212421442,0.7384429144433702,0.3696372513549383,2.9872691871920176e-05,2.1853563611733343e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.0881784678270996e-239,1.0,2.527433305335377e-41,7.23105124150529e-38,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0043,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:03-03:00,2025-08-16T06:07:33-03:00,0.006352441217160818,0.7373191309148587,0.36868959398888335,2.7206961749800686e-05,1.9588836302178895e-05,0.0,outside_event_window,,,,,False,,,1,1.0,8.459861331402983e-243,1.0,5.868171265179922e-41,2.5274332995978543e-41,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
