event_id,phase,metric,n_windows,mean,median,max,std,baseline_mean,fold_change_vs_baseline,mean_minus_baseline
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,activity_mean,58,0.29230636639205304,0.29160371981561173,0.5101394690573215,0.0727077432485227,0.29230636639205304,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,mobility_index,58,0.19159317401894344,0.19223299740829486,0.3429974900891049,0.04351258955295176,0.19159317401894344,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,spatial_freedom_index,58,0.9561319012551546,0.960411337357908,0.9994415361606208,0.024080309953847665,0.9561319012551546,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,occupancy_imbalance_index,58,0.14345723721951587,0.14440229140818645,0.2498075868891865,0.04995426403139543,0.14345723721951587,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,welfare_risk_score,58,0.22363188360616726,0.22363188260837405,0.223631938588889,7.3503458367348146e-09,0.22363188360616726,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_rms,58,0.06455293490455064,0.06452846527099605,0.0663800239562988,0.0007974316460310527,0.06455293490455064,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_short_time_energy,58,0.004189183566205407,0.004182774340733849,0.0044287177734076,0.00010333069286722812,0.004189183566205407,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_zero_crossing_rate,58,0.04374507076010617,0.0433610007166862,0.0483015142381191,0.0025129875384194765,0.04374507076010617,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_spectral_centroid,58,1475.44016660493,1484.6785278320312,1692.231201171875,118.76991707406167,1475.44016660493,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_spectral_bandwidth,58,1986.5020562533675,1991.3798828125,2212.223876953125,131.89814158786552,1986.5020562533675,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,audio_spectral_rolloff,58,3033.264370622306,3020.0333251953125,3802.10009765625,368.2681575184359,3033.264370622306,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,temp_context,58,23.7,23.7,23.7,0.0,23.7,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,pre_entry_baseline,rh_context,58,52.0,52.0,52.0,0.0,52.0,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,during_entry,activity_mean,14,0.7598849317397871,0.7581248263828456,1.0253850533626974,0.15877585137347702,0.29230636639205304,2.5996181373641343,0.46757856534773407
caretaker_entry_room1_week11_2025_08_17,during_entry,mobility_index,14,0.49131150280165997,0.4955509272117742,0.6606122913168736,0.08723559678040699,0.19159317401894344,2.5643476356474078,0.29971832878271654
caretaker_entry_room1_week11_2025_08_17,during_entry,spatial_freedom_index,14,0.8719857992125569,0.9000640687610606,0.9666493320168448,0.08786910709154235,0.9561319012551546,0.9119932072843344,-0.08414610204259765
caretaker_entry_room1_week11_2025_08_17,during_entry,occupancy_imbalance_index,14,0.25111636309100593,0.23730018042823764,0.4164176271071533,0.09507424909416434,0.14345723721951587,1.7504614473144486,0.10765912587149007
caretaker_entry_room1_week11_2025_08_17,during_entry,welfare_risk_score,14,0.4149716226199253,0.4296893908719207,0.4296893908729788,0.05506868105441298,0.22363188360616726,1.8556013388087447,0.19133973901375806
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_rms,14,0.0655089797718184,0.0648816749453544,0.0679211392998695,0.001305973736261795,0.06455293490455064,1.014810246330107,0.0009560448672677607
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_short_time_energy,14,0.0043718338212264,0.004265287192538349,0.0047129518352448,0.00022787349519927248,0.004189183566205407,1.0436004419797813,0.00018265025502099252
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_zero_crossing_rate,14,0.05299700477293555,0.052749181166291195,0.0614903159439563,0.004410056019116605,0.04374507076010617,1.2114966064077508,0.00925193401282938
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_spectral_centroid,14,1744.9770333426338,1751.5689697265625,1974.141357421875,160.17361922803627,1475.44016660493,1.1826823430989568,269.5368667377038
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_spectral_bandwidth,14,2229.7398420061386,2260.02783203125,2427.327392578125,151.81805363315334,1986.5020562533675,1.1224452725770284,243.23778575277106
