window_id,room_id,session_id,start_time,end_time,media_id,system_id,duration_seconds,zone_config_id,activity_mean,activity_total,drinking_activity_fraction,feeding_activity_fraction,general_activity_fraction,drinking_to_feeding_activity_ratio,feeding_plus_drinking_activity_fraction,functional_area_activity_fraction,spatial_freedom_index,occupancy_imbalance_index,warnings,start_time_dt,end_time_dt,semantic_transition_proxy,normalized_activity,mobility_index,media_id_audio,room_id_audio,session_id_audio,start_time_audio,end_time_audio,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning,local_date,env_period,temp_am_mean,temp_pm,temp_daily_mean,rh_am,rh_pm,rh_daily_mean,temp_daily_range,env_quality_flag,temp_context,rh_context,window_mid_time_dt,event_id,event_type,event_phase,seconds_from_event_start,seconds_from_event_end,event_start_time,event_end_time,event_overlap_seconds,overlaps_event
video_000003_w0001,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00018503538183520303,0.0005551061455056091,0.0679932959447017,0.024787856102469055,0.9072188479528293,2.7430083369706613,0.09278115204717076,0.09278115204717076,0.33021430622056913,0.5738855146194959,mapping_override,2025-08-16 06:00:03-03:00,2025-08-16 06:00:33-03:00,0.0,0.002384492878173298,0.0016691450147213087,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,0.0681214034557342,0.0046944399364292,0.0360122174024581,1110.67578125,1482.449462890625,2188.466552734375,0.1068985238671302,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:18-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0002,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00017104530261349284,0.0005131359078404785,0.056224967976968306,0.010130222977543797,0.9336448090454879,5.550220177937364,0.0663551909545121,0.0663551909545121,0.24800493791998354,0.6003114757121546,mapping_override,2025-08-16 06:00:13-03:00,2025-08-16 06:00:43-03:00,0.02642596109265863,0.0019172326117411521,0.009269851156016393,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,0.0707583650946617,0.0050606387667357,0.035135380923748,1105.864501953125,1483.36328125,2183.699951171875,0.1071543917059898,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:28-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0001729632226670219,0.0005188896680010657,0.05788650464461016,0.007660741693161383,0.9344527536622285,7.556253292848195,0.06554724633777155,0.06554724633777155,0.24176431891312214,0.6011194203288952,mapping_override,2025-08-16 06:00:23-03:00,2025-08-16 06:00:53-03:00,0.0024694812843824394,0.001981289992761329,0.002127747380247662,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,0.0700398758053779,0.0049563664942979,0.0358882509171962,1107.10888671875,1482.7054443359375,2179.7666015625,0.1068417280912399,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:38-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0004,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00021399984773577468,0.000641999543207324,0.0855694676637262,0.03953173220780594,0.8748988001284679,2.1645767307618673,0.12510119987153212,0.12510119987153212,0.41416537483818544,0.5415654667951346,mapping_override,2025-08-16 06:00:33-03:00,2025-08-16 06:01:03-03:00,0.059553953533760584,0.0033518886905403622,0.02021250814350643,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,0.0702002197504043,0.0049758995883166,0.0358565039932727,1102.3072509765625,1481.0269775390625,2171.800048828125,0.1061309054493904,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:48-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0005,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00022245329662635212,0.0006673598898790564,0.09179316531358869,0.03642583352575986,0.8717810011606515,2.520001779744417,0.12821899883934856,0.12821899883934856,0.4182594547731434,0.5384476678273182,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00,0.0062236976498624835,0.003634228820162508,0.0044110694690725006,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,0.0693811401724815,0.0048543172888457,0.0362782925367355,1121.0059814453125,1504.4425048828125,2196.333251953125,0.1102732047438621,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:58-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0006,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0002711733541370147,0.000813520062411044,0.10080651352141849,0.10543069678263799,0.7937627896959435,0.9561400673396575,0.20623721030405648,0.20623721030405648,0.5933205883089394,0.4604294563626101,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00,0.07801821146470797,0.005261449559391374,0.027088478130986353,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,0.070310965180397,0.0049861329607665,0.035248763859272,1133.545654296875,1524.712646484375,2212.966552734375,0.1137113943696022,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:08-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0007,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00024988913025683564,0.0007496673907705069,0.08224220608012976,0.10156246073425843,0.8161953331856119,0.8097697267824108,0.18380466681438817,0.18380466681438817,0.5493296627162292,0.4828619998522785,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00,0.02243254348966834,0.0045505692303064215,0.009915161508114997,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,0.0714732185006141,0.0051491907797753,0.0352850444614887,1162.4608154296875,1569.678466796875,2245.7333984375,0.1213558986783027,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:18-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0008,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00024061817877938868,0.000721854536338166,0.0771983814487976,0.10356944792012455,0.8192321706310779,0.7453779372111262,0.18076782936892216,0.18076782936892216,0.5424334593700995,0.4858988372977445,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00,0.005043824631332149,0.004240925003938574,0.004481794892156646,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,0.0715077146887779,0.0051476331427693,0.0354800671339035,1190.2657470703125,1604.5933837890625,2287.966552734375,0.126761332154274,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:28-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0009,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0002745533517251412,0.0008236600551754236,0.18785489003693095,0.09540862181043722,0.7167364881526319,1.9689508817156038,0.2832635118473682,0.2832635118473682,0.7072442120359541,0.38340315481929854,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00,0.11065650858813333,0.0053743394543332955,0.03695899019447331,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,0.0716451779007911,0.0051613501273095,0.036625999957323,1209.99169921875,1634.38330078125,2316.966552734375,0.12982939183712,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:38-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0010,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0003002582659569776,0.0009007747978709328,0.21784207916913226,0.10625040847968778,0.67590751235118,2.0502705098849368,0.32409248764882004,0.32409248764882004,0.7600034771678658,0.3425741790178466,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00,0.04082897580145191,0.0062328681933231725,0.01661170047576179,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,0.070293478667736,0.0049728928133845,0.0366637930274009,1200.759765625,1619.314208984375,2308.033447265625,0.1263559311628341,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:48-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0011,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.0002998564385052305,0.0008995693155156914,0.20517337105308928,0.11421079149703119,0.6806158374498795,1.7964446998725387,0.3193841625501205,0.3193841625501205,0.7597313574216672,0.34728250411654615,mapping_override,2025-08-16 06:01:43-03:00,2025-08-16 06:02:13-03:00,0.012668708116042975,0.0062194473971155465,0.008154225612793775,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,0.0691967830061912,0.0048303022049367,0.0377341397106647,1184.081298828125,1603.9593505859375,2274.800048828125,0.123382568359375,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:58-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0012,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00023186541000339074,0.0006955962300101722,0.1090894557457775,0.05802554151753819,0.8328850027366843,1.8800247768959686,0.1671149972633157,0.1671149972633157,0.5089962850005876,0.49955166940335094,mapping_override,2025-08-16 06:01:53-03:00,2025-08-16 06:02:23-03:00,0.1522691652868048,0.003948587769425629,0.04844476102463938,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,0.0694615691900253,0.0048752129077911,0.0370916314423084,1162.6165771484375,1569.622802734375,2243.36669921875,0.1202318370342254,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:02:08-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0013,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00020345385867888885,0.0006103615760366665,0.07155069494274559,0.03356526689690073,0.8948840381603536,2.131688544664969,0.10511596183964632,0.10511596183964632,0.3659346967451959,0.5615507048270203,mapping_override,2025-08-16 06:02:03-03:00,2025-08-16 06:02:33-03:00,0.06199903542366931,0.002999658972722611,0.020699471908006622,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,0.0696664750576019,0.0049026543274521,0.0372307151556015,1150.25537109375,1549.837646484375,2233.10009765625,0.1184368431568145,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:02:18-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0014,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00019638855412469841,0.0005891656623740952,0.09123053909176634,0.031139834999155982,0.8776296259090777,2.929705282453779,0.12237037409092233,0.12237037409092233,0.40144208717975094,0.5442962925757444,mapping_override,2025-08-16 06:02:13-03:00,2025-08-16 06:02:43-03:00,0.019679844149020694,0.0027636820324854054,0.00783853066744599,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,0.0693834275007247,0.0048665446229279,0.0370961613953113,1145.9910888671875,1533.1507568359375,2228.166748046875,0.1162401884794235,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:02:28-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0015,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00020993458476570794,0.0006298037542971239,0.11954419511508302,0.07840969688147514,0.8020461080034419,1.524609836150587,0.19795389199655816,0.19795389199655816,0.5738683656302258,0.4687127746701085,mapping_override,2025-08-16 06:02:23-03:00,2025-08-16 06:02:53-03:00,0.0755835179056358,0.0032161113422918713,0.02492633331129505,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,0.0665507391095161,0.0044758976437151,0.039386510848999,1179.745849609375,1572.4554443359375,2281.333251953125,0.1229121014475822,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:02:38-03:00,,,outside_event_window,,,,,0.0,False
video_000003_w0016,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,video_000003,free_range,30.0,room1_aug16_17_semantic_v1,0.00022782200214553289,0.0006834660064365986,0.1445645629110588,0.0787405135830646,0.7766949235058767,1.8359616458248698,0.2233050764941234,0.2233050764941234,0.6153176192902163,0.4433615901725433,mapping_override,2025-08-16 06:02:33-03:00,2025-08-16 06:03:03-03:00,0.02535118449756523,0.0038135403688344593,0.01027483360745369,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,0.0652881488204002,0.0042975693941116,0.0405868776142597,1198.9542236328125,1594.899658203125,2300.533447265625,0.1265821605920791,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:02:48-03:00,,,outside_event_window,,,,,0.0,False
