window_id,media_id,system_id,room_id,session_id,start_time,end_time,start_time_dt,end_time_dt,event_id,event_type,event_phase,seconds_from_event_start,seconds_from_event_end,event_start_time,event_end_time,overlaps_event,activity_mean,normalized_activity,mobility_index,spatial_freedom_index,occupancy_imbalance_index,drinking_activity_fraction,feeding_activity_fraction,general_activity_fraction,feeding_plus_drinking_activity_fraction,functional_area_activity_fraction,semantic_transition_proxy,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,temp_context,rh_context,model_name,model_type,state_id,state_probability_max,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3,state_label,risk_score,risk_level,sustained_risk_flag,high_risk_flag
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,2025-08-16 06:00:03-03:00,2025-08-16 06:00:33-03:00,,,outside_event_window,,,,,False,0.00018503538183520303,0.002384492878173298,0.0016691450147213087,0.33021430622056913,0.5738855146194959,0.0679932959447017,0.024787856102469055,0.9072188479528293,0.09278115204717076,0.09278115204717076,0.0,0.0681214034557342,0.0046944399364292,0.0360122174024581,1110.67578125,1482.449462890625,2188.466552734375,23.65,47.0,semantic_video_only,gaussian_hmm,0,1.0,1.0,0.0,1.691254678752507e-201,0.0,localized_low_activity_concentration,0.23377415315736724,low,False,False
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,2025-08-16 06:00:13-03:00,2025-08-16 06:00:43-03:00,,,outside_event_window,,,,,False,0.00017104530261349284,0.0019172326117411521,0.009269851156016393,0.24800493791998354,0.6003114757121546,0.056224967976968306,0.010130222977543797,0.9336448090454879,0.0663551909545121,0.0663551909545121,0.02642596109265863,0.0707583650946617,0.0050606387667357,0.035135380923748,1105.864501953125,1483.36328125,2183.699951171875,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.999999999996362,0.999999999996362,0.0,2.8772813106012194e-12,0.0,localized_low_activity_concentration,0.23377415315743125,low,False,False
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,2025-08-16 06:00:23-03:00,2025-08-16 06:00:53-03:00,,,outside_event_window,,,,,False,0.0001729632226670219,0.001981289992761329,0.002127747380247662,0.24176431891312214,0.6011194203288952,0.05788650464461016,0.007660741693161383,0.9344527536622285,0.06554724633777155,0.06554724633777155,0.0024694812843824394,0.0700398758053779,0.0049563664942979,0.0358882509171962,1107.10888671875,1482.7054443359375,2179.7666015625,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.9999999999799911,0.9999999999799911,0.0,2.0026541546926898e-11,0.0,localized_low_activity_concentration,0.2337741531590545,low,False,False
video_000003_w0004,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,2025-08-16 06:00:33-03:00,2025-08-16 06:01:03-03:00,,,outside_event_window,,,,,False,0.00021399984773577468,0.0033518886905403622,0.02021250814350643,0.41416537483818544,0.5415654667951346,0.0855694676637262,0.03953173220780594,0.8748988001284679,0.12510119987153212,0.12510119987153212,0.059553953533760584,0.0702002197504043,0.0049758995883166,0.0358565039932727,1102.3072509765625,1481.0269775390625,2171.800048828125,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.7796999989824084,0.7796999989824084,0.0,0.2203000010181359,0.0,localized_low_activity_concentration,0.2522892538025461,low,False,False
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00,,,outside_event_window,,,,,False,0.00022245329662635212,0.003634228820162508,0.0044110694690725006,0.4182594547731434,0.5384476678273182,0.09179316531358869,0.03642583352575986,0.8717810011606515,0.12821899883934856,0.12821899883934856,0.0062236976498624835,0.0693811401724815,0.0048543172888457,0.0362782925367355,1121.0059814453125,1504.4425048828125,2196.333251953125,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.5254615252367132,0.5254615252367132,0.0,0.4745384747626648,0.0,localized_low_activity_concentration,0.2736567113940542,low,False,False
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00,,,outside_event_window,,,,,False,0.0002711733541370147,0.005261449559391374,0.027088478130986353,0.5933205883089394,0.4604294563626101,0.10080651352141849,0.10543069678263799,0.7937627896959435,0.20623721030405648,0.20623721030405648,0.07801821146470797,0.070310965180397,0.0049861329607665,0.035248763859272,1133.545654296875,1524.712646484375,2212.966552734375,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,8.972345225794792e-25,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00,,,outside_event_window,,,,,False,0.00024988913025683564,0.0045505692303064215,0.009915161508114997,0.5493296627162292,0.4828619998522785,0.08224220608012976,0.10156246073425843,0.8161953331856119,0.18380466681438817,0.18380466681438817,0.02243254348966834,0.0714732185006141,0.0051491907797753,0.0352850444614887,1162.4608154296875,1569.678466796875,2245.7333984375,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,7.295080041324706e-18,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00,,,outside_event_window,,,,,False,0.00024061817877938868,0.004240925003938574,0.004481794892156646,0.5424334593700995,0.4858988372977445,0.0771983814487976,0.10356944792012455,0.8192321706310779,0.18076782936892216,0.18076782936892216,0.005043824631332149,0.0715077146887779,0.0051476331427693,0.0354800671339035,1190.2657470703125,1604.5933837890625,2287.966552734375,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,3.713978765473485e-17,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00,,,outside_event_window,,,,,False,0.0002745533517251412,0.0053743394543332955,0.03695899019447331,0.7072442120359541,0.38340315481929854,0.18785489003693095,0.09540862181043722,0.7167364881526319,0.2832635118473682,0.2832635118473682,0.11065650858813333,0.0716451779007911,0.0051613501273095,0.036625999957323,1209.99169921875,1634.38330078125,2316.966552734375,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.0530263204416903e-44,0.0,1.0,3.204798044127024e-303,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00,,,outside_event_window,,,,,False,0.0003002582659569776,0.0062328681933231725,0.01661170047576179,0.7600034771678658,0.3425741790178466,0.21784207916913226,0.10625040847968778,0.67590751235118,0.32409248764882004,0.32409248764882004,0.04082897580145191,0.070293478667736,0.0049728928133845,0.0366637930274009,1200.759765625,1619.314208984375,2308.033447265625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.0555026883810835e-54,3.2047980441328535e-303,1.0,2.607901416937249e-271,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0011,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,2025-08-16 06:01:43-03:00,2025-08-16 06:02:13-03:00,,,outside_event_window,,,,,False,0.0002998564385052305,0.0062194473971155465,0.008154225612793775,0.7597313574216672,0.34728250411654615,0.20517337105308928,0.11421079149703119,0.6806158374498795,0.3193841625501205,0.3193841625501205,0.012668708116042975,0.0691967830061912,0.0048303022049367,0.0377341397106647,1184.081298828125,1603.9593505859375,2274.800048828125,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,4.4136606766533056e-54,2.607901416937249e-271,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0012,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,2025-08-16 06:01:53-03:00,2025-08-16 06:02:23-03:00,,,outside_event_window,,,,,False,0.00023186541000339074,0.003948587769425629,0.04844476102463938,0.5089962850005876,0.49955166940335094,0.1090894557457775,0.05802554151753819,0.8328850027366843,0.1671149972633157,0.1671149972633157,0.1522691652868048,0.0694615691900253,0.0048752129077911,0.0370916314423084,1162.6165771484375,1569.622802734375,2243.36669921875,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,2.0103858513361503e-17,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0013,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,2025-08-16 06:02:03-03:00,2025-08-16 06:02:33-03:00,,,outside_event_window,,,,,False,0.00020345385867888885,0.002999658972722611,0.020699471908006622,0.3659346967451959,0.5615507048270203,0.07155069494274559,0.03356526689690073,0.8948840381603536,0.10511596183964632,0.10511596183964632,0.06199903542366931,0.0696664750576019,0.0049026543274521,0.0372307151556015,1150.25537109375,1549.837646484375,2233.10009765625,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.9995136716714134,0.9995136716714134,0.0,0.00048632832815914993,0.0,localized_low_activity_concentration,0.23381502659304032,low,False,False
video_000003_w0014,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,2025-08-16 06:02:13-03:00,2025-08-16 06:02:43-03:00,,,outside_event_window,,,,,False,0.00019638855412469841,0.0027636820324854054,0.00783853066744599,0.40144208717975094,0.5442962925757444,0.09123053909176634,0.031139834999155982,0.8776296259090777,0.12237037409092233,0.12237037409092233,0.019679844149020694,0.0693834275007247,0.0048665446229279,0.0370961613953113,1145.9910888671875,1533.1507568359375,2228.166748046875,23.65,47.0,semantic_video_only,gaussian_hmm,0,0.9949694607364807,0.9949694607364807,0.0,0.005030539263098459,0.0,localized_low_activity_concentration,0.23419694453413994,low,False,False
video_000003_w0015,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,2025-08-16 06:02:23-03:00,2025-08-16 06:02:53-03:00,,,outside_event_window,,,,,False,0.00020993458476570794,0.0032161113422918713,0.02492633331129505,0.5738683656302258,0.4687127746701085,0.11954419511508302,0.07840969688147514,0.8020461080034419,0.19795389199655816,0.19795389199655816,0.0755835179056358,0.0665507391095161,0.0044758976437151,0.039386510848999,1179.745849609375,1572.4554443359375,2281.333251953125,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,3.8870115689944633e-16,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169336,low,False,False
video_000003_w0016,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,2025-08-16 06:02:33-03:00,2025-08-16 06:03:03-03:00,,,outside_event_window,,,,,False,0.00022782200214553289,0.0038135403688344593,0.01027483360745369,0.6153176192902163,0.4433615901725433,0.1445645629110588,0.0787405135830646,0.7766949235058767,0.2233050764941234,0.2233050764941234,0.02535118449756523,0.0652881488204002,0.0042975693941116,0.0405868776142597,1198.9542236328125,1594.899658203125,2300.533447265625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.017383635376749e-21,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0017,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:43-03:00,2025-08-16T06:03:13-03:00,2025-08-16 06:02:43-03:00,2025-08-16 06:03:13-03:00,,,outside_event_window,,,,,False,0.00025608584063168863,0.00475753564521159,0.005712164653292218,0.6279806369946381,0.4354219578337296,0.15124438709575125,0.08000032173718583,0.768755291167063,0.23124470883293707,0.23124470883293707,0.00793963233881368,0.0653821974992752,0.0043072802945971,0.0400637984275817,1193.0220947265625,1592.916259765625,2292.7666015625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,5.043492989531215e-25,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0018,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:53-03:00,2025-08-16T06:03:23-03:00,2025-08-16 06:02:53-03:00,2025-08-16 06:03:23-03:00,,,outside_event_window,,,,,False,0.0002501181253188002,0.0045582175282159266,0.0179518639987301,0.5369908867645362,0.4846256635969928,0.12193358295469449,0.0601074201149794,0.8179589969303261,0.18204100306967388,0.18204100306967388,0.049203705763263175,0.0665400177240371,0.0044668423943221,0.0386291146278381,1174.553466796875,1573.73193359375,2261.10009765625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,9.694030586617375e-14,0.0,1.0,0.0,localized_low_activity_concentration_2,0.31781909441695616,low,False,False
video_000003_w0019,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:03-03:00,2025-08-16T06:03:33-03:00,2025-08-16 06:03:03-03:00,2025-08-16 06:03:33-03:00,,,outside_event_window,,,,,False,0.0002398339100131529,0.004214730896896129,0.016086960400185417,0.44427679870464726,0.5284144928381865,0.09447901692620268,0.04377315690227744,0.8617478261715199,0.13825217382848012,0.13825217382848012,0.04378882924119376,0.0672465786337852,0.0045690005645155,0.0385807380080223,1192.1326904296875,1599.7635498046875,2296.60009765625,23.65,47.0,semantic_video_only,gaussian_hmm,2,0.999022407618282,0.0009775923817793267,0.0,0.999022407618282,0.0,localized_low_activity_concentration_2,0.3177369327226505,low,False,False
video_000003_w0020,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:13-03:00,2025-08-16T06:03:43-03:00,2025-08-16 06:03:13-03:00,2025-08-16 06:03:43-03:00,,,outside_event_window,,,,,False,0.00022154552637706124,0.0036039098375591355,0.007660374585374716,0.4061299380684037,0.5455399518351309,0.08087111647641793,0.040255598355117786,0.8788732851684643,0.12112671483153571,0.12112671483153571,0.017125458996944405,0.0678879991173744,0.0046508181840181,0.0386381819844245,1191.8087158203125,1602.102294921875,2294.13330078125,23.65,47.0,semantic_video_only,gaussian_hmm,2,0.5841221066365713,0.4158778933633735,0.0,0.5841221066365713,0.0,localized_low_activity_concentration_2,0.28286666129803906,low,False,False
video_000003_w0021,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:23-03:00,2025-08-16T06:03:53-03:00,2025-08-16 06:03:23-03:00,2025-08-16 06:03:53-03:00,,,outside_event_window,,,,,False,0.00025721146974117594,0.0047951309832556105,0.027290397005832818,0.5730284649222563,0.46576060077661796,0.1339364814783448,0.06696958441170388,0.7990939341099513,0.20090606589004867,0.20090606589004867,0.07977935105851297,0.0680923908948898,0.0046717426739633,0.0389919430017471,1212.28955078125,1625.656494140625,2331.300048828125,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.0224407601382886e-18,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0022,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:33-03:00,2025-08-16T06:04:03-03:00,2025-08-16 06:03:33-03:00,2025-08-16 06:04:03-03:00,,,outside_event_window,,,,,False,0.00027074802371013603,0.005247243777891823,0.022765790230905854,0.6767555388860717,0.40211820215534605,0.18003375927442,0.08451470523690058,0.7354515354886794,0.2645484645113206,0.2645484645113206,0.06364239862127194,0.0678124725818634,0.0046258508227765,0.0391249805688858,1191.973388671875,1593.024658203125,2301.5,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,3.606102891816166e-35,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0023,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:43-03:00,2025-08-16T06:04:13-03:00,2025-08-16 06:03:43-03:00,2025-08-16 06:04:13-03:00,,,outside_event_window,,,,,False,0.0003302754456146633,0.007235424014638762,0.01764576207198531,0.7433874855753415,0.3601816512828855,0.19584961672350099,0.11063539866028016,0.6935149846162187,0.30648501538378115,0.30648501538378115,0.04193655087246059,0.0696854889392852,0.0048977499827742,0.0382859483361244,1210.033203125,1614.1046142578125,2341.7333984375,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,3.742712400535537e-53,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0024,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:03:53-03:00,2025-08-16T06:04:23-03:00,2025-08-16 06:03:53-03:00,2025-08-16 06:04:23-03:00,,,outside_event_window,,,,,False,0.00027793387059015613,0.005487246759611061,0.020019077625534204,0.6642412375676267,0.41410833426224036,0.16234414045257395,0.09021419195185233,0.7474416675955736,0.25255833240442627,0.25255833240442627,0.05392668297935487,0.070976085960865,0.0050742221064865,0.0373093299567699,1177.0479736328125,1576.6336669921875,2286.333251953125,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,5.127330142679532e-33,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0025,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:04:03-03:00,2025-08-16T06:04:33-03:00,2025-08-16 06:04:03-03:00,2025-08-16 06:04:33-03:00,,,outside_event_window,,,,,False,0.0003008119391072089,0.006251360544909854,0.011313622142781234,0.6885867635778016,0.4033297551044228,0.14999715373924372,0.11333975782300013,0.7366630884377561,0.2633369115622438,0.2633369115622438,0.023125565871147787,0.070501334965229,0.0050102095119655,0.0369646400213241,1167.142578125,1561.4969482421875,2269.60009765625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.288856744427114e-39,0.0,1.0,0.0,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0026,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:04:13-03:00,2025-08-16T06:04:43-03:00,2025-08-16 06:04:13-03:00,2025-08-16 06:04:43-03:00,,,outside_event_window,,,,,False,0.00028645178176197483,0.005771739890815991,0.009814330207346341,0.6995078131152059,0.3931673675433616,0.1692441946851609,0.10425510443814412,0.7265007008766949,0.273499299123305,0.273499299123305,0.019247040945917157,0.0685695260763168,0.0047280951403081,0.0377477407455444,1145.03466796875,1530.3641357421875,2227.033447265625,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.3287813910806134e-39,0.0,1.0,8.522579077483647e-308,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0027,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:04:23-03:00,2025-08-16T06:04:53-03:00,2025-08-16 06:04:23-03:00,2025-08-16 06:04:53-03:00,,,outside_event_window,,,,,False,0.00034053131271826316,0.007577963832989764,0.020740714908356633,0.7669294450233196,0.3417135667924823,0.20852071816961443,0.11643238170456989,0.6750469001258156,0.3249530998741843,0.3249530998741843,0.05145380075087933,0.068403773009777,0.0047122025862336,0.0372972339391708,1146.2347412109375,1529.79345703125,2227.166748046875,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,1.8199089499339631e-60,8.522579077483647e-308,1.0,9.262897906092772e-268,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
video_000003_w0028,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:04:33-03:00,2025-08-16T06:05:03-03:00,2025-08-16 06:04:33-03:00,2025-08-16 06:05:03-03:00,,,outside_event_window,,,,,False,0.000311526610029331,0.006609224135991901,0.007175280908211134,0.7629278368856984,0.3468943305327272,0.20002463812622515,0.11974769800771429,0.6802276638660606,0.3197723361339394,0.3197723361339394,0.008496080043389344,0.0703731775283813,0.004985699430108,0.0359547659754753,1142.76513671875,1538.3846435546875,2225.166748046875,23.65,47.0,semantic_video_only,gaussian_hmm,2,1.0,5.057405431505329e-56,9.262897906109621e-268,1.0,3.4874960450123714e-292,localized_low_activity_concentration_2,0.3178190944169335,low,False,False
