window_id,media_id,system_id,room_id,session_id,start_time,end_time,duration_seconds,zone_config_id,zone_count,missing_zone_count,activity_total,activity_mean,activity_std_mean,motion_pixel_ratio_mean,distribution_fallback_used,distribution_source,spatial_freedom_index,occupancy_imbalance_index,warnings,start_time_dt,end_time_dt,transition_proxy,normalized_activity,mobility_index,event_id,event_phase,event_type,candidate_event_source,resilience_pressure_index,room_id_hmm,session_id_hmm,start_time_hmm,state_id,state_label,state_probability_max,welfare_risk_score,risk_level,sustained_risk_flag,high_risk_flag,media_id_audio,room_id_audio,session_id_audio,start_time_audio,end_time_audio,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning,local_date,env_period,temp_am_mean,temp_pm,temp_daily_mean,rh_am,rh_pm,rh_daily_mean,temp_daily_range,env_quality_flag,temp_context,rh_context,window_mid_time_dt,seconds_from_event_start,seconds_from_event_end,event_start_time,event_end_time,event_overlap_seconds,overlaps_event
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,30.0,default_zone,4,0,6.482284800637765e-05,1.6205712001594413e-05,5.590241608921337e-06,0.0,False,activity_proxy_distribution,0.5806780766870443,0.454433802251911,mapping_override,2025-08-16 06:00:03-03:00,2025-08-16 06:00:33-03:00,0.0,1.0242492297864517e-05,7.169744608505161e-06,,outside_event_window,,event_log,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,0.0681214034557342,0.0046944399364292,0.0360122174024581,1110.67578125,1482.449462890625,2188.466552734375,0.1068985238671302,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:18-03:00,,,,,0.0,False
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,30.0,default_zone,4,0,5.585650679332069e-05,1.3964126698330173e-05,5.408796515414432e-06,0.0,False,activity_proxy_distribution,0.5644965456146713,0.4685887022790186,mapping_override,2025-08-16 06:00:13-03:00,2025-08-16 06:00:43-03:00,0.0237243322485019,8.338106174575304e-06,0.0071231363488727,,outside_event_window,,event_log,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,0.0707583650946617,0.0050606387667357,0.035135380923748,1105.864501953125,1483.36328125,2183.699951171875,0.1071543917059898,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:28-03:00,,,,,0.0,False
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,30.0,default_zone,4,0,7.586310918372696e-05,1.896577729593174e-05,7.851234234925843e-06,0.0,False,activity_proxy_distribution,0.5902699482998728,0.4584685992302041,mapping_override,2025-08-16 06:00:23-03:00,2025-08-16 06:00:53-03:00,0.0101201030488144,1.2587364044772356e-05,0.0030448420694756,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,0.0700398758053779,0.0049563664942979,0.0358882509171962,1107.10888671875,1482.7054443359375,2179.7666015625,0.1068417280912399,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:38-03:00,,,,,0.0,False
video_000003_w0004,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,30.0,default_zone,4,0,9.304026629299856e-05,2.326006657324964e-05,1.142101394896184e-05,0.0,False,activity_proxy_distribution,0.7299404446928125,0.3881084073318059,mapping_override,2025-08-16 06:00:33-03:00,2025-08-16 06:01:03-03:00,0.0987094959149611,1.623566817007373e-05,0.0296242137422074,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,0.0702002197504043,0.0049758995883166,0.0358565039932727,1102.3072509765625,1481.0269775390625,2171.800048828125,0.1061309054493904,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:48-03:00,,,,,0.0,False
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,30.0,default_zone,4,0,0.0001109213411533,2.7730335288348823e-05,1.0688421595405003e-05,0.0,False,activity_proxy_distribution,0.7534378155604129,0.368882434871415,mapping_override,2025-08-16 06:00:43-03:00,2025-08-16 06:01:13-03:00,0.0202084189646519,2.0033479342377463e-05,0.0060765491249352,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,0.0693811401724815,0.0048543172888457,0.0362782925367355,1121.0059814453125,1504.4425048828125,2196.333251953125,0.1102732047438621,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:00:58-03:00,,,,,0.0,False
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,30.0,default_zone,4,0,0.0001257299265337,3.1432481633449547e-05,1.4297173557857477e-05,0.0,False,activity_proxy_distribution,0.8346109941802351,0.3088740605610818,mapping_override,2025-08-16 06:00:53-03:00,2025-08-16 06:01:23-03:00,0.0804015338942674,2.317871593708965e-05,0.0241366852694361,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,0.070310965180397,0.0049861329607665,0.035248763859272,1133.545654296875,1524.712646484375,2212.966552734375,0.1137113943696022,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:08-03:00,,,,,0.0,False
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,30.0,default_zone,4,0,0.0001206467936071,3.0161698401798275e-05,1.4367948682695636e-05,0.0,False,activity_proxy_distribution,0.802181646416331,0.338545391700806,mapping_override,2025-08-16 06:01:03-03:00,2025-08-16 06:01:33-03:00,0.036543530352984,2.2099095211284047e-05,0.0109785284725431,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,0.0714732185006141,0.0051491907797753,0.0352850444614887,1162.4608154296875,1569.678466796875,2245.7333984375,0.1213558986783027,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:18-03:00,,,,,0.0,False
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,30.0,default_zone,4,0,0.0001220246025322,3.0506150633068108e-05,1.3764387724989976e-05,0.0,False,activity_proxy_distribution,0.7704827952664277,0.3661006105294324,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00,0.0275552188286264,2.2391731877134343e-05,0.0082822398609019,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,0.0715077146887779,0.0051476331427693,0.0354800671339035,1190.2657470703125,1604.5933837890625,2287.966552734375,0.126761332154274,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:28-03:00,,,,,0.0,False
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,30.0,default_zone,4,0,0.0001236816262534,3.09204065633617e-05,1.1637567987117489e-05,0.0,False,activity_proxy_distribution,0.7595380593587998,0.3620607117634569,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00,0.0338063778128827,2.274367174932773e-05,0.0101578339140893,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,0.0716451779007911,0.0051613501273095,0.036625999957323,1209.99169921875,1634.38330078125,2316.966552734375,0.12982939183712,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:38-03:00,,,,,0.0,False
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,30.0,default_zone,4,0,0.0001324146425821,3.310366064553557e-05,1.1996210333517318e-05,0.0,False,activity_proxy_distribution,0.7905505527989576,0.3378120490084797,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00,0.0242486627549772,2.4598501352132417e-05,0.0072918177774396,,outside_event_window,,none,0.0,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,1,localized_low_activity_concentration,1.0,0.3268295656181177,low,False,False,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,0.070293478667736,0.0049728928133845,0.0366637930274009,1200.759765625,1619.314208984375,2308.033447265625,0.1263559311628341,30.0,22050,True,ok,,2025-08-16,AM,23.65,23.7,23.674999999999997,47.0,43,45.0,0.9000000000000021,ok,23.65,47.0,2025-08-16 06:01:48-03:00,,,,,0.0,False
